User_ID,Month,Year,total_kwh,avg_kwh,total_cost,avg_cost,avg_wallet_balance,avg_session_duration,avg_cost_efficiency,peak_hour_ratio,City,Vehicle_Type,Subscription_Type,Payment_Mode,Charger_Type
U00021,7,2025,31.89,31.89,360.04,360.04,401.39,60,11.29005958,1,Kolkata,4W,Basic,Credit Card,Slow
U00022,2,2024,45.69,45.69,377.86,377.86,575.17,60,8.270080981,1,Pune,2W,Basic,Debit Card,Fast
U00023,9,2024,20.26,20.26,121.97,121.97,581.96,60,6.02023692,1,Ahmedabad,4W,Basic,Wallet,Superfast
U00024,6,2025,16.99,16.99,144.42,144.42,1452.39,60,8.500294291,0,Kolkata,2W,Premium,Debit Card,Superfast
U00025,2,2025,46.17,46.17,388.75,388.75,1715.53,60,8.419969677,0,Ahmedabad,2W,Premium,Debit Card,Fast
U00026,4,2024,32.16,32.16,247.95,247.95,1626.61,60,7.70988806,0,Bangalore,4W,Pay-as-you-go,Wallet,Superfast
U00027,6,2025,23.49,23.49,236.07,236.07,1463.06,60,10.04980843,0,Kolkata,2W,Basic,Debit Card,Slow
U00028,8,2024,11.33,11.33,72.74,72.74,1154.76,60,6.420123566,0,Chennai,3W,Premium,UPI,Superfast
U00029,5,2025,47.27,47.27,400.85,400.85,1976.89,60,8.480008462,0,Mumbai,3W,Pay-as-you-go,UPI,Slow
U00030,1,2025,36.9,36.9,284.13,284.13,581.9,60,7.7,0,Mumbai,2W,Basic,UPI,Fast
U00031,1,2024,14.08,14.08,102.22,102.22,1939.41,60,7.259943182,0,Chennai,3W,Premium,Wallet,Fast
U00032,8,2024,3.01,3.01,31.54,31.54,989.1,60,10.47840532,0,Ahmedabad,2W,Basic,Wallet,Superfast
U00033,11,2025,49.52,49.52,553.63,553.63,796.43,60,11.1799273,0,Kolkata,2W,Pay-as-you-go,Credit Card,Slow
U00034,5,2025,36.38,36.38,376.9,376.9,1793.77,60,10.36008796,0,Pune,4W,Premium,Wallet,Fast
U00035,10,2025,25.69,25.69,179.06,179.06,457.52,60,6.970027248,0,Delhi,2W,Premium,Credit Card,Fast
U00036,12,2025,6.05,6.05,51.85,51.85,1288.31,60,8.570247934,0,Ahmedabad,4W,Basic,UPI,Slow
U00037,7,2024,41.05,41.05,474.13,474.13,367.51,60,11.5500609,0,Kolkata,4W,Premium,Wallet,Slow
U00038,12,2024,6.89,6.89,42.03,42.03,1861.28,60,6.100145138,0,Mumbai,2W,Basic,UPI,Slow
U00039,4,2025,20.42,20.42,186.84,186.84,139.42,60,9.149853085,0,Delhi,2W,Premium,Wallet,Superfast
U00040,2,2024,42.82,42.82,295.46,295.46,1097.41,60,6.900046707,0,Ahmedabad,4W,Premium,Credit Card,Slow
U00041,8,2025,23.97,23.97,259.36,259.36,1197.28,60,10.82019191,0,Delhi,2W,Premium,Debit Card,Fast
U00042,5,2024,21.94,21.94,252.53,252.53,513.18,60,11.51002735,0,Pune,4W,Premium,Wallet,Fast
U00043,4,2024,29.7,29.7,296.7,296.7,726.67,60,9.98989899,1,Ahmedabad,4W,Pay-as-you-go,Credit Card,Superfast
U00044,5,2024,24.9,24.9,176.29,176.29,1761.62,60,7.079919679,1,Delhi,2W,Premium,Debit Card,Superfast
U00045,4,2025,33.73,33.73,257.36,257.36,395.75,60,7.630002965,1,Ahmedabad,3W,Basic,UPI,Slow
U00046,7,2024,26.51,26.51,288.43,288.43,1390.74,60,10.88004527,1,Delhi,3W,Premium,UPI,Slow
U00047,9,2025,17.26,17.26,106.49,106.49,791.58,60,6.169756663,1,Bangalore,4W,Basic,Debit Card,Superfast
U00048,12,2025,38.92,38.92,295.01,295.01,512.44,60,7.579907503,0,Ahmedabad,2W,Premium,UPI,Slow
U00049,1,2025,44.7,44.7,501.09,501.09,1690.46,60,11.21006711,0,Delhi,4W,Pay-as-you-go,Debit Card,Superfast
U00050,3,2024,36.77,36.77,300.41,300.41,1327.42,60,8.169975524,0,Hyderabad,4W,Premium,Debit Card,Superfast
U00051,10,2024,35.24,35.24,348.52,348.52,1522.55,60,9.889897843,0,Kolkata,2W,Basic,UPI,Superfast
U00052,9,2024,36.52,36.52,266.23,266.23,886.52,60,7.289978094,0,Mumbai,4W,Pay-as-you-go,UPI,Slow
U00053,11,2025,23.59,23.59,148.38,148.38,992.64,60,6.28995337,0,Ahmedabad,4W,Basic,Credit Card,Superfast
U00054,5,2025,38.12,38.12,384.63,384.63,1141.38,60,10.08997901,0,Pune,2W,Pay-as-you-go,Wallet,Slow
U00055,8,2024,4.38,4.38,36.75,36.75,117.77,60,8.390410959,0,Delhi,2W,Premium,Wallet,Slow
U00056,4,2025,7.21,7.21,73.04,73.04,516.48,60,10.13037448,0,Mumbai,4W,Basic,Credit Card,Superfast
U00057,8,2024,18.08,18.08,178.09,178.09,481.84,60,9.850110619,0,Chennai,4W,Pay-as-you-go,Debit Card,Fast
U00058,2,2024,14.27,14.27,137.71,137.71,1402,60,9.650315347,0,Delhi,3W,Premium,Debit Card,Superfast
U00059,7,2025,33.33,33.33,314.3,314.3,757.71,60,9.429942994,0,Pune,2W,Pay-as-you-go,UPI,Slow
U00060,2,2025,34.29,34.29,387.13,387.13,1562.03,60,11.28988043,0,Kolkata,2W,Premium,Wallet,Fast
U00061,11,2025,13.48,13.48,150.57,150.57,1407.65,60,11.16988131,0,Delhi,2W,Premium,Debit Card,Superfast
U00062,8,2024,5.05,5.05,34.59,34.59,1785.56,60,6.84950495,0,Ahmedabad,2W,Pay-as-you-go,UPI,Superfast
U00063,10,2024,22.51,22.51,162.3,162.3,1662.79,60,7.210128832,0,Mumbai,4W,Basic,UPI,Fast
U00064,2,2024,7.75,7.75,75.25,75.25,1719.93,60,9.709677419,0,Kolkata,2W,Basic,Credit Card,Superfast
U00065,11,2024,30.7,30.7,234.55,234.55,261.17,60,7.640065147,0,Pune,2W,Pay-as-you-go,Debit Card,Superfast
U00066,11,2024,21.1,21.1,146.86,146.86,150.25,60,6.960189573,0,Ahmedabad,3W,Basic,Credit Card,Superfast
U00067,1,2025,29.88,29.88,326.89,326.89,1953.13,60,10.94009371,1,Bangalore,2W,Basic,UPI,Fast
U00068,1,2024,40.38,40.38,393.71,393.71,1595.6,60,9.750123824,1,Hyderabad,2W,Basic,Credit Card,Fast
U00069,3,2024,20.01,20.01,136.07,136.07,198.15,60,6.80009995,1,Pune,4W,Pay-as-you-go,Wallet,Fast
U00070,5,2024,33.04,33.04,321.15,321.15,925.84,60,9.72003632,1,Chennai,4W,Pay-as-you-go,Credit Card,Superfast
U00071,5,2024,49.33,49.33,418.32,418.32,1352.91,60,8.480032435,1,Pune,4W,Premium,Debit Card,Superfast
U00072,7,2024,8.8,8.8,64.68,64.68,198.55,60,7.35,0,Kolkata,4W,Basic,UPI,Fast
U00073,11,2025,7.65,7.65,55.69,55.69,1296.05,60,7.279738562,0,Hyderabad,4W,Basic,Wallet,Slow
U00074,3,2024,12.09,12.09,85.72,85.72,279.3,60,7.090157155,0,Hyderabad,4W,Pay-as-you-go,Debit Card,Superfast
U00075,2,2025,3.95,3.95,41.4,41.4,1779.68,60,10.48101266,0,Bangalore,2W,Basic,Credit Card,Fast
U00076,3,2025,39.9,39.9,456.06,456.06,100.8,60,11.43007519,0,Delhi,2W,Premium,Debit Card,Slow
U00077,9,2025,13.66,13.66,162.28,162.28,1636.96,60,11.87994143,0,Hyderabad,4W,Pay-as-you-go,UPI,Superfast
U00078,5,2025,44.23,44.23,266.71,266.71,1033.93,60,6.030070088,0,Kolkata,4W,Basic,UPI,Superfast
U00079,12,2025,33.88,33.88,219.54,219.54,1907.43,60,6.479929162,0,Delhi,2W,Basic,Debit Card,Fast
U00080,9,2024,6,6,60.3,60.3,1189.03,60,10.05,0,Pune,2W,Pay-as-you-go,Credit Card,Fast
U00081,10,2025,21.56,21.56,199.86,199.86,519.15,60,9.269944341,0,Chennai,3W,Basic,Debit Card,Superfast
U00082,7,2024,31.3,31.3,340.23,340.23,1668.95,60,10.86996805,0,Delhi,4W,Pay-as-you-go,Debit Card,Superfast
U00083,4,2024,36.52,36.52,306.04,306.04,1755.76,60,8.380065717,0,Delhi,3W,Premium,Credit Card,Fast
U00084,11,2024,2.72,2.72,31.72,31.72,897.84,60,11.66176471,0,Chennai,3W,Basic,Debit Card,Superfast
U00085,8,2025,13.54,13.54,150.43,150.43,1039.35,60,11.11004431,0,Delhi,2W,Premium,Credit Card,Slow
U00086,7,2024,6.44,6.44,46.82,46.82,439.47,60,7.270186335,0,Hyderabad,2W,Basic,Debit Card,Slow
U00087,11,2025,16.99,16.99,157.84,157.84,562.43,60,9.290170689,0,Kolkata,4W,Basic,UPI,Fast
U00088,5,2024,9.04,9.04,104.68,104.68,353.13,60,11.57964602,0,Hyderabad,4W,Premium,Debit Card,Slow
U00089,2,2025,44.51,44.51,325.81,325.81,1333.17,60,7.319928106,0,Mumbai,4W,Premium,Wallet,Fast
U00090,3,2025,34.33,34.33,212.5,212.5,763.01,60,6.189921352,0,Bangalore,2W,Basic,Credit Card,Fast
U00091,3,2024,40.91,40.91,437.74,437.74,1703.57,60,10.70007333,1,Bangalore,3W,Pay-as-you-go,Wallet,Slow
U00092,11,2024,15.03,15.03,105.81,105.81,1458.66,60,7.03992016,1,Hyderabad,4W,Pay-as-you-go,Debit Card,Slow
U00093,4,2024,10.9,10.9,70.96,70.96,1408.11,60,6.510091743,1,Kolkata,4W,Pay-as-you-go,Debit Card,Superfast
U00094,4,2024,7.63,7.63,66.08,66.08,1814.65,60,8.660550459,1,Kolkata,2W,Basic,Debit Card,Fast
U00095,7,2025,8.38,8.38,93.02,93.02,1849.55,60,11.10023866,1,Ahmedabad,2W,Premium,UPI,Fast
U00096,9,2024,28.58,28.58,307.81,307.81,162.34,60,10.77011896,0,Delhi,4W,Pay-as-you-go,Credit Card,Superfast
U00097,6,2025,13.88,13.88,145.46,145.46,1175.07,60,10.47982709,0,Ahmedabad,4W,Pay-as-you-go,UPI,Fast
U00098,5,2024,28.39,28.39,332.73,332.73,1699.5,60,11.71997182,0,Mumbai,2W,Basic,Wallet,Fast
U00099,12,2025,24.78,24.78,199.23,199.23,331.17,60,8.039951574,0,Hyderabad,2W,Premium,Wallet,Fast
U00100,10,2025,19.45,19.45,183.02,183.02,1118.29,60,9.409768638,0,Pune,4W,Pay-as-you-go,Credit Card,Slow
U00101,5,2024,26.9,26.9,208.48,208.48,601.5,60,7.750185874,0,Ahmedabad,4W,Premium,UPI,Superfast
U00102,12,2025,15.05,15.05,127.93,127.93,499.84,60,8.500332226,0,Bangalore,4W,Premium,Wallet,Slow
U00103,3,2025,32.88,32.88,227.86,227.86,985.5,60,6.930048662,0,Hyderabad,4W,Basic,Debit Card,Superfast
U00104,2,2025,36.65,36.65,249.59,249.59,113.75,60,6.810095498,0,Chennai,3W,Pay-as-you-go,Wallet,Fast
U00105,2,2025,46.08,46.08,442.83,442.83,1274.8,60,9.610026042,0,Pune,4W,Premium,Debit Card,Fast
U00106,3,2024,5.91,5.91,38.95,38.95,1111.78,60,6.590524535,0,Chennai,3W,Pay-as-you-go,Credit Card,Slow
U00107,11,2024,45.78,45.78,437.66,437.66,1045.62,60,9.5600699,0,Hyderabad,3W,Premium,Wallet,Slow
U00108,12,2025,9.9,9.9,83.66,83.66,1911.37,60,8.450505051,0,Hyderabad,4W,Pay-as-you-go,Credit Card,Slow
U00109,3,2025,26.58,26.58,306.47,306.47,1765,60,11.53009782,0,Delhi,2W,Premium,Credit Card,Superfast
U00110,2,2024,37.05,37.05,337.9,337.9,1410.45,60,9.120107962,0,Delhi,4W,Pay-as-you-go,Debit Card,Fast
U00111,8,2024,20.76,20.76,245.18,245.18,806.18,60,11.81021195,0,Bangalore,4W,Premium,Wallet,Slow
U00112,9,2024,12.27,12.27,140.98,140.98,804.17,60,11.48981255,0,Ahmedabad,4W,Premium,Credit Card,Slow
U00113,4,2025,6.63,6.63,59.74,59.74,1488.88,60,9.010558069,0,Chennai,2W,Premium,Credit Card,Fast
U00114,3,2024,13.45,13.45,102.09,102.09,1077.56,60,7.590334572,0,Ahmedabad,4W,Pay-as-you-go,Credit Card,Slow
U00115,3,2024,39.37,39.37,471.26,471.26,456.9,60,11.97002794,1,Hyderabad,4W,Basic,UPI,Fast
U00116,8,2024,17.99,17.99,131.33,131.33,1290.21,60,7.300166759,1,Chennai,4W,Basic,Credit Card,Fast
U00117,9,2025,27.44,27.44,270.01,270.01,882,60,9.840014577,1,Ahmedabad,2W,Pay-as-you-go,Debit Card,Slow
U00118,3,2024,12.18,12.18,120.83,120.83,1286.88,60,9.920361248,1,Mumbai,2W,Premium,Debit Card,Slow
U00119,7,2025,38.12,38.12,403.69,403.69,523.4,60,10.58997901,1,Hyderabad,2W,Basic,UPI,Slow
U00120,3,2024,8.55,8.55,64.72,64.72,1331.67,60,7.569590643,0,Delhi,4W,Pay-as-you-go,Credit Card,Fast
U00121,11,2025,17.56,17.56,172.97,172.97,1789.54,60,9.85022779,0,Ahmedabad,2W,Basic,Credit Card,Superfast
U00122,2,2024,23.49,23.49,231.14,231.14,429.04,60,9.839931886,0,Pune,3W,Basic,Credit Card,Superfast
U00123,5,2025,24.2,24.2,217.8,217.8,951.17,60,9,0,Pune,2W,Pay-as-you-go,UPI,Slow
U00124,4,2024,22.88,22.88,193.34,193.34,1561.53,60,8.450174825,0,Bangalore,2W,Pay-as-you-go,Wallet,Slow
U00125,8,2025,33.32,33.32,249.23,249.23,280.15,60,7.479891957,0,Chennai,4W,Pay-as-you-go,Wallet,Slow
U00126,9,2025,12.14,12.14,93.48,93.48,724.02,60,7.700164745,0,Bangalore,4W,Basic,UPI,Fast
U00127,12,2025,10.64,10.64,66.39,66.39,893.19,60,6.239661654,0,Kolkata,4W,Basic,Credit Card,Slow
U00128,8,2025,44.02,44.02,279.09,279.09,1255.74,60,6.340072694,0,Bangalore,2W,Pay-as-you-go,UPI,Fast
U00129,2,2025,11.44,11.44,100.79,100.79,612.96,60,8.810314685,0,Delhi,3W,Basic,Wallet,Superfast
U00130,6,2025,46.97,46.97,446.22,446.22,1540.52,60,9.500106451,0,Bangalore,2W,Pay-as-you-go,Wallet,Slow
U00131,8,2025,12.76,12.76,149.55,149.55,1782.93,60,11.72021944,0,Pune,4W,Basic,Debit Card,Superfast
U00132,11,2024,43.76,43.76,283.13,283.13,451.6,60,6.470063985,0,Delhi,2W,Basic,Credit Card,Slow
U00133,7,2024,31.6,31.6,369.09,369.09,433.4,60,11.68006329,0,Hyderabad,3W,Pay-as-you-go,UPI,Fast
U00134,1,2025,30.91,30.91,234.92,234.92,1162.57,60,7.600129408,0,Bangalore,4W,Basic,Credit Card,Fast
U00135,10,2024,11.58,11.58,112.21,112.21,450.89,60,9.689982729,0,Kolkata,2W,Basic,Wallet,Slow
U00136,3,2024,19.12,19.12,201.91,201.91,1117.26,60,10.56014644,0,Delhi,2W,Basic,UPI,Superfast
U00137,1,2024,44.53,44.53,528.13,528.13,1312,60,11.86009432,0,Bangalore,4W,Pay-as-you-go,Wallet,Slow
U00138,5,2024,37.02,37.02,343.55,343.55,167.15,60,9.280118855,0,Mumbai,2W,Premium,UPI,Slow
U00139,4,2024,38.85,38.85,292.93,292.93,425.59,60,7.54002574,1,Kolkata,2W,Basic,Debit Card,Slow
U00140,4,2025,19.06,19.06,219.95,219.95,1046.43,60,11.53987408,1,Bangalore,2W,Premium,Debit Card,Superfast
U00141,9,2025,19.18,19.18,122.94,122.94,515.97,60,6.409801877,1,Kolkata,4W,Basic,Debit Card,Superfast
U00142,3,2024,8.84,8.84,83.1,83.1,1186.13,60,9.400452489,1,Chennai,4W,Basic,Wallet,Slow
U00143,8,2025,11.42,11.42,77.31,77.31,1327.71,60,6.769702277,1,Mumbai,2W,Pay-as-you-go,Credit Card,Slow
U00144,1,2025,25.35,25.35,182.52,182.52,1388.49,60,7.2,0,Pune,4W,Basic,Credit Card,Fast
U00145,11,2025,12.69,12.69,106.09,106.09,1217.73,60,8.360126084,0,Ahmedabad,4W,Pay-as-you-go,Wallet,Slow
U00146,12,2025,35.83,35.83,347.91,347.91,294.36,60,9.710019537,0,Delhi,3W,Premium,Wallet,Superfast
U00147,12,2025,45.61,45.61,300.11,300.11,1374.59,60,6.579916685,0,Bangalore,2W,Pay-as-you-go,Debit Card,Slow
U00148,11,2025,3.21,3.21,23.02,23.02,903.47,60,7.171339564,0,Kolkata,3W,Premium,Debit Card,Superfast
U00149,12,2024,30.3,30.3,285.43,285.43,725.5,60,9.420132013,0,Kolkata,2W,Pay-as-you-go,Wallet,Slow
U00150,6,2024,21.71,21.71,155.66,155.66,1890.7,60,7.169967757,0,Pune,2W,Pay-as-you-go,Credit Card,Slow
U00151,1,2025,43.73,43.73,267.63,267.63,798.01,60,6.120054882,0,Pune,4W,Premium,Wallet,Fast
U00152,6,2025,19.17,19.17,216.24,216.24,218.59,60,11.2801252,0,Pune,4W,Basic,Wallet,Fast
U00153,5,2025,37.91,37.91,247.17,247.17,409.49,60,6.51991559,0,Mumbai,2W,Basic,Debit Card,Superfast
U00154,1,2025,12.14,12.14,145.68,145.68,1230.37,60,12,0,Delhi,2W,Basic,Wallet,Fast
U00155,3,2025,36.45,36.45,373.61,373.61,1761.7,60,10.24993141,0,Hyderabad,2W,Pay-as-you-go,Debit Card,Fast
U00156,11,2025,47.6,47.6,467.91,467.91,532.96,60,9.830042017,0,Kolkata,4W,Pay-as-you-go,UPI,Slow
U00157,4,2024,13.79,13.79,140.24,140.24,214.64,60,10.16968818,0,Bangalore,2W,Premium,Debit Card,Fast
U00158,8,2025,24.42,24.42,210.26,210.26,1391.86,60,8.61015561,0,Kolkata,3W,Basic,Debit Card,Superfast
U00159,10,2025,19.95,19.95,196.11,196.11,1214.3,60,9.830075188,0,Kolkata,2W,Basic,Debit Card,Slow
U00160,8,2024,2.29,2.29,16.85,16.85,486.4,60,7.358078603,0,Bangalore,2W,Pay-as-you-go,Debit Card,Fast
U00161,5,2024,2.45,2.45,28.49,28.49,330.14,60,11.62857143,0,Pune,4W,Pay-as-you-go,Credit Card,Fast
U00162,8,2024,38.3,38.3,340.49,340.49,1599.15,60,8.890078329,0,Chennai,4W,Pay-as-you-go,Credit Card,Fast
U00163,1,2024,13.77,13.77,130.4,130.4,1241.33,60,9.469862019,1,Chennai,2W,Pay-as-you-go,Credit Card,Superfast
U00164,4,2025,11.21,11.21,108.18,108.18,1990.02,60,9.650312221,1,Ahmedabad,4W,Basic,Debit Card,Superfast
U00165,12,2025,27.4,27.4,202.21,202.21,1944.02,60,7.379927007,1,Kolkata,3W,Premium,Credit Card,Fast
U00166,12,2024,40.61,40.61,337.47,337.47,1440.6,60,8.310022162,1,Kolkata,4W,Premium,Debit Card,Slow
U00167,12,2024,23.01,23.01,210.54,210.54,533.25,60,9.149934811,1,Pune,3W,Pay-as-you-go,Debit Card,Slow
U00168,8,2024,20.49,20.49,152.04,152.04,961.19,60,7.420204978,0,Pune,4W,Premium,Credit Card,Superfast
U00169,2,2025,32.78,32.78,337.96,337.96,558.04,60,10.30994509,0,Hyderabad,4W,Basic,UPI,Fast
U00170,7,2024,8.23,8.23,74.15,74.15,1012.62,60,9.009720535,0,Hyderabad,2W,Pay-as-you-go,Wallet,Slow
U00171,10,2025,10.28,10.28,103.31,103.31,651.85,60,10.04961089,0,Kolkata,4W,Basic,Debit Card,Slow
U00172,9,2025,14.13,14.13,116.57,116.57,1025.73,60,8.249823071,0,Hyderabad,2W,Premium,Credit Card,Fast
U00173,5,2024,33.18,33.18,367.63,367.63,1807.98,60,11.07986739,0,Chennai,2W,Basic,Credit Card,Fast
U00174,12,2025,47.46,47.46,550.06,550.06,861.81,60,11.5899705,0,Bangalore,4W,Pay-as-you-go,Debit Card,Slow
U00175,2,2025,17.05,17.05,157.88,157.88,923.78,60,9.259824047,0,Ahmedabad,4W,Pay-as-you-go,Wallet,Slow
U00176,2,2025,16.18,16.18,165.2,165.2,1039.49,60,10.21013597,0,Delhi,4W,Premium,Credit Card,Superfast
U00177,1,2024,31.43,31.43,369.62,369.62,659.36,60,11.76010181,0,Hyderabad,3W,Pay-as-you-go,Wallet,Fast
U00178,3,2025,25.68,25.68,223.67,223.67,1683.54,60,8.709890966,0,Chennai,4W,Premium,Debit Card,Slow
U00179,4,2024,35.73,35.73,244.39,244.39,333,60,6.839910439,0,Mumbai,4W,Premium,Debit Card,Fast
U00180,7,2024,22.04,22.04,242,242,350.06,60,10.9800363,0,Mumbai,4W,Pay-as-you-go,Credit Card,Slow
U00181,5,2024,41.29,41.29,356.33,356.33,878.13,60,8.629934609,0,Delhi,4W,Pay-as-you-go,UPI,Superfast
U00182,11,2024,28.65,28.65,250.4,250.4,400.01,60,8.739965096,0,Hyderabad,2W,Basic,Credit Card,Fast
U00183,1,2025,37.99,37.99,426.63,426.63,581.08,60,11.23006054,0,Hyderabad,2W,Premium,UPI,Slow
U00184,7,2025,15.13,15.13,137.53,137.53,1042.09,60,9.08988764,0,Bangalore,2W,Pay-as-you-go,UPI,Fast
U00185,3,2025,36.87,36.87,319.66,319.66,1499.65,60,8.669921345,0,Bangalore,4W,Basic,UPI,Superfast
U00186,3,2025,27.45,27.45,225.64,225.64,1436.69,60,8.22003643,0,Chennai,4W,Basic,Credit Card,Slow
U00187,4,2024,7.81,7.81,88.88,88.88,161.53,60,11.38028169,1,Mumbai,2W,Pay-as-you-go,UPI,Superfast
U00188,11,2024,23.87,23.87,224.38,224.38,1749.71,60,9.400083787,1,Pune,4W,Pay-as-you-go,Wallet,Superfast
U00189,6,2025,30.58,30.58,352.28,352.28,1420.05,60,11.51994768,1,Bangalore,4W,Premium,Credit Card,Fast
U00190,12,2025,22.54,22.54,244.56,244.56,632.67,60,10.85004437,1,Chennai,2W,Premium,Credit Card,Slow
U00191,5,2025,11.43,11.43,127.67,127.67,1041.21,60,11.16972878,1,Mumbai,2W,Premium,Credit Card,Slow
U00192,1,2024,42.57,42.57,267.77,267.77,336.38,60,6.290110406,0,Pune,2W,Basic,UPI,Slow
U00193,7,2024,27.77,27.77,307.69,307.69,1771.29,60,11.07994238,0,Chennai,2W,Premium,Credit Card,Slow
U00194,10,2025,47.15,47.15,525.72,525.72,1426.49,60,11.14994698,0,Chennai,2W,Pay-as-you-go,UPI,Fast
U00195,12,2024,28.29,28.29,209.63,209.63,613.55,60,7.410038883,0,Mumbai,2W,Premium,UPI,Fast
U00196,1,2025,42.91,42.91,348.86,348.86,1634.37,60,8.130039618,0,Mumbai,2W,Pay-as-you-go,Credit Card,Fast
U00197,8,2025,16.79,16.79,156.48,156.48,947.46,60,9.319833234,0,Hyderabad,4W,Pay-as-you-go,Debit Card,Fast
U00198,1,2025,20.32,20.32,135.94,135.94,265.93,60,6.68996063,0,Delhi,3W,Premium,Wallet,Superfast
U00199,11,2025,10.8,10.8,105.84,105.84,1186.37,60,9.8,0,Bangalore,2W,Basic,Credit Card,Superfast
U00200,11,2025,21.73,21.73,138.2,138.2,1640.89,60,6.359871146,0,Kolkata,2W,Premium,Credit Card,Fast
U00201,7,2024,32.66,32.66,375.59,375.59,918.94,60,11.5,0,Pune,2W,Pay-as-you-go,Debit Card,Slow
U00202,4,2024,11.81,11.81,124.83,124.83,474.59,60,10.56985605,0,Delhi,4W,Basic,Credit Card,Fast
U00203,9,2025,48.4,48.4,514.01,514.01,1417.11,60,10.62004132,0,Mumbai,2W,Premium,UPI,Superfast
U00204,3,2025,9.18,9.18,93.54,93.54,1997.68,60,10.18954248,0,Pune,4W,Premium,UPI,Superfast
U00205,3,2025,29.32,29.32,291.15,291.15,1162.32,60,9.930081855,0,Delhi,2W,Basic,UPI,Superfast
U00206,10,2025,35.78,35.78,408.97,408.97,176.33,60,11.43012856,0,Delhi,4W,Premium,Wallet,Fast
U00207,2,2025,16.21,16.21,116.23,116.23,164.2,60,7.170265268,0,Kolkata,4W,Premium,Debit Card,Slow
U00208,7,2025,36.18,36.18,319.11,319.11,1523.83,60,8.820066335,0,Bangalore,4W,Basic,Debit Card,Fast
U00209,2,2025,47.62,47.62,425.72,425.72,204.07,60,8.939941201,0,Pune,4W,Pay-as-you-go,UPI,Fast
U00210,3,2024,48.04,48.04,506.34,506.34,1469.43,60,10.53996669,0,Bangalore,2W,Basic,Wallet,Slow
U00211,6,2024,49.53,49.53,531.95,531.95,1610.26,60,10.73995558,1,Delhi,2W,Premium,UPI,Fast
U00212,10,2025,29.27,29.27,185.28,185.28,1825.22,60,6.330030748,1,Ahmedabad,4W,Basic,Wallet,Fast
U00213,2,2024,40.63,40.63,392.08,392.08,1450.26,60,9.650012306,1,Delhi,4W,Premium,Debit Card,Superfast
U00214,4,2024,32.41,32.41,266.41,266.41,1396.78,60,8.219993829,1,Pune,2W,Premium,Wallet,Fast
U00215,6,2025,16.71,16.71,146.55,146.55,1971.42,60,8.770197487,1,Delhi,2W,Basic,Debit Card,Slow
U00216,10,2025,24.16,24.16,237.98,237.98,901.6,60,9.850165563,0,Hyderabad,4W,Pay-as-you-go,Credit Card,Fast
